EventTemplate,Occurrences
Apply window without WALLPAPER ,8
Enter QmiChr_FetchSignalFromModem ,1
<a href="http://www.huawei.com"> ,2
iqiyi message: failed to open /proc/<*>/cmdline ,15
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> do not need to <*> ,2
setSimCardReady <*> ,2
ready=false,policy=<*>,wakefulness=<*>,wksummary=0x2b,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,1
<*> state is not <*> <*> ,2
<*> Branch <*> ,1
wapi_type='qualcomm' ,1
<*> <*> <*> <*> <*> <*> ......ID <*>,<*>-<*>,<*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
<*> not in <*> <*> <*> <*> <*> <*> ,7
<*> <*> <*> <*> <*> = <*> <*> = <*> ,3
mThermalService is NULL! ,22
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:Send <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> type is [<*>]! ,2
AdBlockService:onReceive action=android.net.conn.CONNECTIVITY_CHANGE ,2
<*> <*> RTT[<*>]=<*>, volume=<*> ,11
<*> : <*> <*> <*> <*> ,4
<<*>-<*>-<*> <*>:<*>:<*>> <*> SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> <*> <*> <*> <*> <*> <*> <*> ,1
sub =<*>,strMccMnc <*> <*> <*> ,5
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*> <*> <*> ,23
<<*>-<*>-<*> <*>:<*>:<*>> <*> SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> <*> <*> <*> <*> ,3
<*> stream <*>, <*> <*> <*> <*> <*> <*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> = <*> y = <*> ,5
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> detect response <*> <*> id is [<*>]! ,1
enter setFunsToDefault() ,1
motionLocked() ,2
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> : <*> ,9
<*> BSS: <*> <*> id <*> BSSID <*> <*> <*> <*> <*> ,1
Heartbeat timer.timers{<*>} <*> <*> <*> <*> ,5
setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> contentDescription:手机信号满格。 typeContentDescription:LTE isTypeIconWide:true showActivity:true activityIn:false activityOut:false isRoaming:false ,37
<*> callerApp: <*> <*> <*> receiver size:<*>, flags: <*> ,1
getSeekBarProgress isAutoMode:true current brightness:<*> percentage:<*>.<*> ,39
<*> <*> <*> <*> <*> <*> <*> <*> = <*>, <*> <*> <*> <*> <*> <*> <*> <*> = <*> ,2
onStartCommand com.huawei.lcagent.RESUME_UPLOAD ,2
stopMonitoringMotionLocked() ,14
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,71
Can't find ssid. ,11
getMode... ,6
platform_set_parameters: <*> <*> <*> ,5
<*> <*> android broadcastIntent}}) changed bounds; rebatching ,21
setAlarmsPending ... ,23
null ,4
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*>]:FSM_Tool_LibcAccess ==> call <*> <*> <*> <*> ,1
[main-<*>]Network changed(hwouc/DownloadReceiver.java:<*>) ,1
Launcher onPause() ,5
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:FSM_Tool_Tree_Enc_Path =>Access <*> real path ok ,2
<*> <*> level = <*> ,3
<*> <*> <*> <*> <*> <*> x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=0x0, edgeFlags=0x0, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x1002 } ,1
iqiyi message: ==== isProcesssExist: stat=<*>, errno=<*> ,21
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,7
<*> <*> what=<*> target=com.android.internal.util.StateMachine$SmHandler } ,5
DisplayPowerState :OFF ,9
<*> <*> <*> <*> <*> (<*> * <*> * <*> * <*> <*> <*> <*> <*> (<*> * <*> * <*> * <*> <*> ,1
<*> <*> <*> <*> <*> <*> = <*> <*> <*> <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*> ,1
to: connected=true,enabled=true,level=<*>,inetCondition=<*>,iconGroup=IconGroup(4G),activityIn=false,activityOut=false,rssi=<*>,lastModified=<*>-<*> <*> ,1
<*> <*> <*> <*> } ,4
wifi_send_command: cmd:'IFNAME=wlan0 <*> <*> ,1
bssid=<*>:<*>:<*>:a3:5d:2e;freq=<*>;level=<*>;flags=<*>;ssid=KJS; ,1
<*> <*> <*> <*> is not <*> <*> <*> ,9
<*> <*> V.ED..... ......ID <*>,<*>-<*>,<*> #7f1403e3 app:id/speed} ,5
ready=false,policy=<*>,wakefulness=<*>,wksummary=0x11,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,16
wlan0: Control interface command 'GET_NETWORK <*> <*> ,23
setVoLTECallStatisResult: chrVolteStatisticInfo= mCount=<*>, mAvgValue=<*>, mMaxValue=<*>, mMinValue=<*> ,1
fd received! ,1
setMobileDataIndicatorsHuawei subId:<*> visible:true <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
at android.os.Looper.loop(Looper.java:<*>) ,17
setBackgroundColor:new=<*>, old=<*> ,22
<*> = false, <*> = false, <*> = true, <*> = true, <*> = false, <*> = false, <*> = false ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> is: <*> ,1
notifyUiVisibilityChanged:vis=0xc0000700, SystemUiVisibility=0xc<*> ,4
notifyUiVisibilityChanged:vis=0x8608, SystemUiVisibility=0x<*> ,8
<*> <*> <*> can not <*> ,1
<*> <*> <*> <*> <*> <*> <*> = <*> ,5
notifyStartedGoingToSleep ,1
<*> <*> is null <*> <*> ,3
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:Send udp detect packet ok when login,id:[<*>];count:[<*>]! ,7
<*> <*> <*> <*> <*> <*> size is <*> <*> <*> <*> size is <*> ,1
becomeInactiveIfAppropriateLocked() ,8
<*> connected=true,enabled=true,level=<*>,inetCondition=<*>,iconGroup=IconGroup(4G),activityIn=false,activityOut=false,rssi=<*>,lastModified=<*>-<*> <*>:<*>:<*>,isRoaming=false,dataSim=true,networkName=中国移动,networkNameData=中国移动,dataConnected=true,isDefault=true,isEmergency=false,airplaneMode=false,carrierNetworkChangeMode=false,userSetup=true ,1
<*> <*> <*> type <*> <*> id <*> ,1
bssid=d8:<*>:ac:<*>:e7:dc;freq=<*>;level=<*>;flags=<*>;ssid=HX; ,1
bssid=e4:d3:<*>:8b:1e:a4;freq=<*>;level=<*>;flags=<*>;ssid=<*>; ,1
oem-qmi: recv_id_l = <*> recv_id=<*> ,1
wifi_send_command: cmd:'IFNAME=wlan0 SIGNAL_POLL' ,4
<*> <*> <*> <*> package: com.tencent.mm, pid: <*> ,1
onReceive, action:android.intent.action.BATTERY_CHANGED ,7
RCV unsolicited event from native daemon, event = <*> IfaceClass idle <*> <*> ,19
setLift <*>.<*> ,4
<*> <*> <*> <*> <*> <*> pid=<*> ,1
isAutoSceneRunning false ,14
acquire <*> <*> <*> <*> ws=null, uid=<*>, pid=<*> ,3
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> = <*> <*> <*> <*> <*> <*> ,2
<*> <*> <*> u0 euid: <*> <*> euid: <*> ,10
setColorTemperatureAccordingToSetting new. ,7
virtual void android::IppAlgoSmartAE::onNewArrival(void *, void *, int, int, int) exit ,2
<*> - hexdump(len=<*>): ,1
dispatch ordered broadcast [background] <*> u0 android.intent.action.LTE_CA_STATE}, has <*> receivers ,4
WatchThread{<*>} TcpSocket.close(TcpSocket.java:<*>) shutdown input: java.net.SocketException: Socket is closed ,4
state is <*> ,3
mobile iface:rmnet_data<*> ,2
[SmsProvider.query]读取短信数据 ,2
<*> <*> <*> <*> <*> to uc.huawei.com:<*> ,3
bssid=<*>:fc:<*>:<*>:<*>:ee;freq=<*>;level=<*>;flags=<*>;ssid=TP-LINK_90EE; ,1
clearAppTrackerData AppName:com.sankuai.meituanhd ,1
releaseOutput() <*> ,1
mLogUploadInfo.getUserType():<*> ,1
tcp.conn{<*>} TcpClientThread.connectSocket(TcpClientThread.java:<*>) <*> <*> <*> <*> <*> <*> <*> to uc.huawei.com:<*> ,1
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x23,uasummary=0x4,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,42
ImsSenderRxr : Tag <*> <*> <*> <*>[SUB0] ,35
getTempInfo error: null, <*> ,700
ready=false,policy=<*>,wakefulness=<*>,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,4
notifyInterfaceClassActivity: <*> <*> <*> ,5
proxyBroadcast:[com.huawei.appmarket] proxy:true ,1
<*> <*> <*> <*> does not <*> <*> <*> ,6
ImsServiceSub : <*> ,3
<*> when=<*> what=<*> target=com.android.internal.util.StateMachine$SmHandler } ,7
at com.android.providers.settings.SettingsProvider.insertGlobalSetting(SettingsProvider.java:<*>) ,1
[RouteService.onDestroy] ,3
ProximitySensor - Proximity wake lock already acquired ,5
<*> <*> size is <*> <*> <*> is <*> ,5
at java.io.FileOutputStream.<init>(FileOutputStream.java:<*>) ,1
BatteryStatisticsHelper:counts =<*> ,4
<*> - <*> is null ,1
com.android.bluetooth <*> ,1
CommandQueue, setBarBackgroundColor ,10
TelephonyConnection: clearOriginalConnection ,1
Beacon IEs - hexdump(len=<*>): <*> <*> <*> <*> <*> <*> 6c <*> <*> <*> <*> <*> <*> 8b <*> 0c <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,2
enable_audio_route: exit ,3
<*> <*> <*> <*> <*> is not in the <*> <*> name = <*> ,1
WPS: attr type=0x1049 len=<*> ,34
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x10,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,9
flush,<*>,handle <*> ,9
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> <*> <*> <*>, <*>, <*> <*> <*>, <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>, <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,2
[ReceiverDispatcher-<*>]send msg to remote srv success(android/null:<*>) ,5
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*>]:KeySpace <*> <*> <*> <*> <*> ,3
checkPolicyOver currentTimeMillis-beforeTimeMillis<*> ,2
<*> <*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x2 color=0x00000000 <*> <*> <*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*> ,1
IEs - hexdump(len=<*>): <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 8b <*> 0c <*> <*> <*> <*> <*> <*> 2a <*> <*> <*> <*> <*> <*> <*> ... ,1
<*> = false, <*> = false, <*> = false, <*> = true, <*> = true, <*> = true, <*> = false ,4
acquire lock=<*>, flags=0x1, <*> <*> <*> uid=<*>, pid=<*> ,6
onError <*> ,5
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:<*>) ,1
RCV <- {<*> IfaceClass active <*> <*> <*>} ,46
<*> <*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null <*> <*> <*> <*> <*> <*> <*> <*> ,1
MainActivity_stop_android.os.BinderProxy@f132d3f ,1
at com.android.systemui.qs.QSTile$H.handleMessage(QSTile.java:<*>) ,1
<*> <*> <*> <*> <*> false ,2
mVSimCurCardType is -<*> ,314
Setting HAL auto-suspend mode to true ,2
SimCardMethod:/getSimCardInfo: imsi is null ,2
refreshState=flashlight, BooleanState[,icon=ResourceIcon[resId=0x7f020212],label=手电筒,labelTint=<*>,textChangedDelay=<*>,contentDescription=手电筒,dualLabelContentDescription=null,minimalContentDescription=null,minimalAccessibilityClassName=android.widget.Switch,expandedAccessibilityClassName=android.widget.Switch,autoMirrorDrawable=false,disabledByPolicy=false,enforcedAdmin=null,value=false] ,4
keyAppBroadcastQueueForIntent intent Intent { act=com.tencent.mm.ui.ACTION_DEACTIVE flg=0x10 (has extras) } on bgkeyapp queue ,1
unproxy app:com.huawei.espacev2,uid:<*>,result:true ,2
[ReceiverDispatcher-<*>]lastnetWorkType:<*> curNetWorkType:<*>(android/null:<*>) ,2
I/LocTech-Label :: OSOBSERVER :: Data Items In ,8
msg.recv{<*>} TcpClientThread.onRecv(TcpClientThread.java:<*>) <*> <*> <*> ,5
onAuthenticated <*> ,4
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*>]:KeySpace : getkey <*> <*> <*> ,1
<*> <*> <*> <*> <*> <*> = <*> ,16
left handleScrnOnOffTimeStats, mScrnOffAccTime = <*>, mScrnOffAccTime = <*>, mScrnOnAccTime = <*> ,3
<*> <*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null vibrate=null sound=null <*> <*> <*> <*> <*> <*> ,1
bssid=<*>:c5:8a:1a:4d:<*>;freq=<*>;level=<*>;flags=<*>;ssid=Huawei-Employee; ,1
send data return = <*> ,122
<*> <*> <*> <*> <*> <*> (has extras) } <*> <*> <*> ,2
AutoStartupDataMgr:retrieveStartupSettings type <*> of <*> is <*> ,35
getDBOptId() ,1
reusing notification for key: <*> ,7
moveTaskToTop mTaskChanged:true ,21
<*> = false ,22
ImsSenderRxr : <*> = <*> status = <*> <*> = <*> <*> <*> <*> ,3
queryIntentActivitiesAsUser size <*> <*> <*> ,5
sending alarm <*> type <*> when <*> android},repeatInterval = <*>,listenerTag <*> <*> <*> <*> <*> ,2
<*> <*> = true ,17
handleNotifyScreenTurnedOn ,2
<*> - hexdump(len=<*>): <*> ,3
BluetoothManagerService:Message: <*> ,3
Is User Assigned Wallpaper? : <*> false ,1
<*> <*> <*> size is <*> ,5
sendMessage <*> <*> <*> <*> <*> ,2
<*> <*> <*> <*> <*> <*> <*> <*>, <*> ,3
<<*>-<*>-<*> <*>:<*>:<*>> <*> SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> <*> <*> <*> ,1
AwareMem_EventTracker: [POLLING_TIMEOUT_<*>] is abandoned for memory <*> ,9
onReceive intent:act:android.intent.action.BATTERY_CHANGED flag:<*> technology=Li-ion icon-small=<*> max_charging_voltage=<*> health=<*> max_charging_current=<*> status=<*> plugged=<*> present=true charge_counter=<*> level=<*> scale=<*> temperature=<*> voltage=<*> invalid_charger=<*> ,9
read Events <*> ,5
AppAutoStartupPolicy:prevent start receiver of package com.ss.android.article.news for action <*> ,1
CablComputeBacklightLevel(): UpdateType = DifferentSceneUpdate ,2
int android::IppAlgoSmartAE::doSmartAEAlgo(unsigned char *, void *, int, int, int) enter ,3
OEMINFO_TPCOLOR_TYPE FAIL! ,5
AllIdleAppsList updatePackage <*> <*> <*> <*> size is <*> <*> <*> <*> size is <*> ,1
mTiffStream skip = <*> ,17
ImsSenderRxr : isValid = true type = <*> status = <*> <*> <*> <*> ,2
dispatch <*> <*> <*> <*> <*> <*> <*> <*> receivers ,4
<*> <*> <*> <*> = <*> <*> = <*> ,2
key: nsp-file-md<*> ,1
resumeSuspendedAutohide ,10
DisplayPowerController updatePowerState <*> useProximitySensor=false, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, <*> screenAutoBrightness=<*>, userId=<*> ,1
Couldn't create directory for SharedPreferences file /data/user_de/<*>/com.android.settings/shared_prefs/caStatePreferences.xml ,8
TelecomServiceImpl: isInCall callState is <*>: <*> ,14
<*> <*> <*> = false ,36
WPS: attr type=0x1047 len=<*> ,39
DynamicUpdater registerReceiver ,10
<*> Visible: <*> <*> <*> Switching: false; Bouncer:false; GoingToSleep: false Occluded: false; dreaming: false; Authenticated: false ,1
<*> <*> <*> <*> <*> *, const <*> *, const void <*> <*> <*> <*> <*> <*> <*> <*> = <*> ,1
Sending non-protected broadcast <*> from system uid <*> pkg <*> ,3
EventCenter Get <*> ,10
WPS: attr <*> <*> ,102
<*> <*> Intent { <*> <*> (has extras) } <*> <*> <*> ,1
<*> <*> <*> <*> = <*>, <*> = <*>, <*> = <*>, result = <*> ,2
call refreshData ,1
<*> <*> size is <*> ,2
WindowOrientationListener disabled ,6
<*> <*> V.ED..... ......ID <*>,<*>-<*>,<*> <*> app:id/msim_status_bar_operators_card_one_id} ,2
<*> Intent { <*> <*> ,6
[enter]setLteMobileDataState state=<*> ,1
<*> <*> com.android.phone broadcastIntent}}) changed bounds; rebatching ,13
Launcher.LauncherProvider launcher call - method:setAppBadgeCount arg:null extras:[app_shortcut_custom_id=null][app_shortcut_class_name=com.tencent.mm.ui.LauncherUI][app_badge_count=<*>] uid =<*> pid =<*> ,4
<*> <*> <*> is -<*> ,6
<*> no net <*> ,2
update_config=<*> ,1
0x55, 0x0, 0x0, 0x<*> ,6
<*> <*> is -<*> ,1
<*> <*> <*> disabled ,1
CalculateTrafficMethod:getAllUidBytesInPeriod start = <*>-<*>-<*> <*>:<*>:<*> end = <*>-<*>-<*> <*>:<*>:<*> ,1
AutoStartupDataMgr:isUnderControll third party not in whitelist: <*> ,46
onReceive: action=android.net.conn.CONNECTIVITY_CHANGE ,1
act:android.intent.action.TIME_TICK flag:<*> FLAG_IS_FIRST_POWER_OFF_ALARM=false android.intent.extra.ALARM_COUNT=<*> ,11
MediaExtractor::Create (null) ,1
<*> <*> = true, <*> <*> <*> <*> ,1
<*> <*> home <*> ,1
ImsServiceSub : <*> <*> = <*> ,6
key:logType value:<*> ,1
querySoundEffectsEnabled... ,42
BatteryIntent received: android.intent.action.BATTERY_CHANGED ,9
virtual void android::IppAlgoSmartAE::onNewArrival(void *, void *, int, int, int) enter ,1
GZeuYqV1VxUJdH8L9PrbTFi2bJfjSn3ihBF4kxkAiLRyFbDxAn6ehYfXVM+8IKH/t3fdbjVG4he<*> ,1
tcp.conn{<*>} TcpSocket.connect_i(TcpSocket.java:<*>) <*> <*> <*> ,1
<*> <*> not in <*> <*> ,3
<*> <*> <*> <*> <*> <*> <*> = <*> <*> <*> <*> <*> <*> <*> ,1
<*> <*> <*> <*> java.net.SocketException: Socket is not <*> ,1
Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) } ,1
keyAppBroadcastQueueForIntent intent Intent { <*> flg=0x10 (has extras) } on bgkeyapp queue ,10
updateSlider2 seekBarProgress:<*> ,43
read from oem info: <*> ,8
Failed to get <*> ,4
handle action thermal policy:<*> ,1
<*> <*> <*> <*> <*> u0 euid: <*> <*> ,4
at java.net.Inet6AddressImpl.lookupHostByName(Inet6AddressImpl.java:<*>) ,1
<*> <*> rt=<*>/<*> <*> <*> <*> <*> <*> ,1
setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> contentDescription:手机信号满格。 typeContentDescription:4G isTypeIconWide:true showActivity:true activityIn:false activityOut:true isRoaming:false ,6
<*> <*> Connect to server <*> <*> <*> <*> = <*> ,2
start ,1
install ,1
onEntryAdded:<*>|com.android.browser|<*>|null|<*>, group=<*>|com.android.browser|g:nf_type_<*> ,4
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
qsc_send_cmd finish ,116
<*> <*> <*> add to <*> ,1
iqiyi message: create--runOnSubprocess isProcessExist true ,17
Watch Thread{<*>} <*> <*> <*> <*> = <*> ,6
StatusBarNotifier - <*> <*> <*> <*> in the <*> <*> <*> ,1
updateDNS:<*>.<*>.<*>.<*> ,1
cancelAutohide ,22
notifyListenerHuawei::origin typeIcon:<*> <*> <*> <*> <*> <*> ,4
[qiyi_LOG_INFO DownloadEpisodeAdapter] setUnFinishedText:DownloadObject{albumId='<*>', tvId='<*>', <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> downloadRequestUrl='', displayType=TV_TYPE, fileSize=<*>, progress=<*>.<*>, status=FINISHED, clicked=<*>, videoDuration=<*>, clm='锦绣未央', _a_t='锦绣未央', episode=<*>, year='<*>', playRc=<*>, taskStatus=<*>, mNeedDel=<*>, isDownloadPlay=true, speed=<*>, errorCode='', downloadTime=<*>, _pc=<*>, auto=<*>, cid=<*>, <*> <*> <*> <*> <*> segidx='null', accelerate_speed0'} ,1
CtrlSocket processCtrlSocket pid = <*> cmd = <*> param = <*> ret = <*> ,4
checkPackageLogState ,1
[LoginActivity.getIntentData]action：android.intent.action.MAIN ,1
addCurrentApInfo addCellIdInfo ,1
Launcher.LauncherProvider launcher-restore query - uri:content://com.huawei.android.launcher.settings/badge ,4
<*> <*> uid = <*> pid = <*> ,6
BaiduLocation:locType: <*> ,4
PoiDetailActivity_stop_android.os.BinderProxy@ed1bee<*> ,1
process buffer and get message ,56
proxy app:com.android.gallery3d,uid:<*>,result:true ,1
get_android_log_exception_write comes... ,1
reusing notification for key: <*>|com.huawei.health|<*>|null|<*> ,56
onScreenTurnedOff() ,16
<*> im app <*> <*> <*> <*> <*> <*> ,3
<*> <*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null <*> <*> <*> <*> <*> <*> <*> vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*> ,1
tcp.conn{<*>} TcpSocket.connect_i(TcpSocket.java:<*>) connecting to <*> <*> <*> ,5
onStartedWakingUp() ,1
<<*>-<*>-<*> <*>:<*>:<*>> [WARN] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[WARN] magic[<*> <*>]:PubEvt_Close Getting a socket[<*>] from the Socket-table Failed! ,1282
<*> <*>.<*>/<*>, <*>.<*>/<*>, <*> ,2
total/<*>/<*>,android.uid.system:<*>/<*>/<*>,com.android.browser/<*>/<*> ,1
at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:<*>) ,2
<*> compensate: cache step_<*> ,4
<*> <*> <*> is <*> ,7
WPS: attr type=0x104a len=<*> ,36
<*>|calculateCaloriesWithCache datas.size=<*> ,9
updateCallLayout:isBackground=false, isInteractive=true ,2
cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*> ,3
ready=false,policy=<*>,wakefulness=<*>,wksummary=0x10,uasummary=0x2,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> euid: <*> ,1
sendEvent:action=<*>, flag=<*> ,16
<*> : <*> <*> <*> ,1
Moving to PAUSED: <*> <*> <*> <*> (pause <*> ,1
setSystemUiVisibility vis=<*> mask=ffffffff oldVal=<*> <*> <*> ,1
